ダウンロードした時刻：2022/03/12 11:32:02

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,9.6,8,1,3.0,8,1
2013/1/2,14.4,8,1,4.2,8,1
2013/1/3,9.9,8,1,1.8,8,1
2013/1/4,6.9,8,1,1.0,8,1
2013/1/5,4.8,8,1,0.2,8,1
2013/1/6,10.3,8,1,-1.4,8,1
2013/1/7,8.9,8,1,2.1,8,1
2013/1/8,11.4,8,1,2.6,8,1
2013/1/9,9.4,8,1,4.4,8,1
2013/1/10,9.1,8,1,2.9,8,1
2013/1/11,8.9,8,1,2.6,8,1
2013/1/12,8.8,8,1,1.2,8,1
2013/1/13,13.5,8,1,1.1,8,1
2013/1/14,10.0,8,1,0.7,8,1
2013/1/15,7.2,8,1,0.8,8,1
2013/1/16,6.0,8,1,1.8,8,1
2013/1/17,8.3,8,1,-0.2,8,1
2013/1/18,6.2,8,1,0.3,8,1
2013/1/19,9.8,8,1,-0.3,8,1
2013/1/20,10.4,8,1,1.8,8,1
2013/1/21,9.4,8,1,2.7,8,1
2013/1/22,9.3,8,1,3.5,8,1
2013/1/23,9.5,8,1,3.9,8,1
2013/1/24,9.8,8,1,2.5,8,1
2013/1/25,13.4,8,1,2.8,8,1
2013/1/26,7.4,8,1,0.9,8,1
2013/1/27,9.4,8,1,0.8,8,1
2013/1/28,10.5,8,1,1.4,8,1
2013/1/29,12.4,8,1,2.1,8,1
2013/1/30,13.6,8,1,3.9,8,1
2013/1/31,9.6,8,1,2.1,8,1
2013/2/1,12.6,8,1,2.3,8,1
2013/2/2,20.9,8,1,12.0,8,1
2013/2/3,13.2,8,1,6.7,8,1
2013/2/4,14.8,8,1,6.3,8,1
2013/2/5,12.4,8,1,6.1,8,1
2013/2/6,9.0,8,1,1.6,8,1
2013/2/7,12.7,8,1,3.2,8,1
2013/2/8,7.1,8,1,1.9,8,1
2013/2/9,8.4,8,1,1.4,8,1
2013/2/10,10.4,8,1,1.3,8,1
2013/2/11,9.3,8,1,2.2,8,1
2013/2/12,6.9,8,1,0.9,8,1
2013/2/13,12.3,8,1,1.1,8,1
2013/2/14,9.9,8,1,5.0,8,1
2013/2/15,8.3,8,1,3.5,8,1
2013/2/16,6.0,8,1,0.4,8,1
2013/2/17,8.0,8,1,0.3,8,1
2013/2/18,8.9,8,1,1.8,8,1
2013/2/19,8.9,8,1,2.7,8,1
2013/2/20,8.9,8,1,1.6,8,1
2013/2/21,9.0,8,1,0.9,8,1
2013/2/22,8.7,8,1,1.3,8,1
2013/2/23,10.1,8,1,3.2,8,1
2013/2/24,8.1,8,1,0.1,8,1
2013/2/25,8.5,8,1,-0.5,8,1
2013/2/26,9.0,8,1,1.3,8,1
2013/2/27,9.1,8,1,2.6,8,1
2013/2/28,15.7,8,1,4.1,8,1
2013/3/1,17.6,8,1,7.9,8,1
2013/3/2,12.0,8,1,4.8,8,1
2013/3/3,9.7,8,1,3.7,8,1
2013/3/4,9.4,8,1,4.2,8,1
2013/3/5,13.7,8,1,3.2,8,1
2013/3/6,16.4,8,1,4.5,8,1
2013/3/7,18.7,8,1,7.1,8,1
2013/3/8,23.2,8,1,10.8,8,1
2013/3/9,22.3,8,1,11.6,8,1
2013/3/10,25.3,8,1,5.7,8,1
2013/3/11,12.4,8,1,3.8,8,1
2013/3/12,15.7,8,1,4.0,8,1
2013/3/13,21.2,8,1,13.1,8,1
2013/3/14,14.3,8,1,5.9,8,1
2013/3/15,13.8,8,1,4.6,8,1
2013/3/16,17.8,8,1,7.1,8,1
2013/3/17,16.5,8,1,8.5,8,1
2013/3/18,20.7,8,1,14.5,8,1
2013/3/19,25.0,8,1,15.5,8,1
2013/3/20,20.8,8,1,15.1,8,1
2013/3/21,16.2,8,1,7.7,8,1
2013/3/22,18.6,8,1,7.2,8,1
2013/3/23,17.7,8,1,11.4,8,1
2013/3/24,13.3,8,1,9.2,8,1
2013/3/25,11.2,8,1,6.7,8,1
2013/3/26,13.2,8,1,5.5,8,1
2013/3/27,10.1,8,1,6.4,8,1
2013/3/28,20.5,8,1,9.6,8,1
2013/3/29,20.5,8,1,12.3,8,1
2013/3/30,12.6,8,1,7.6,8,1
2013/3/31,8.3,8,1,6.7,8,1
2013/4/1,15.2,8,1,6.9,8,1
2013/4/2,12.6,8,1,8.3,8,1
2013/4/3,16.6,8,1,11.3,8,1
2013/4/4,21.4,8,1,10.8,8,1
2013/4/5,22.5,8,1,13.5,8,1
2013/4/6,20.7,8,1,15.3,8,1
2013/4/7,23.1,8,1,11.9,8,1
2013/4/8,20.2,8,1,10.5,8,1
2013/4/9,21.7,8,1,10.7,8,1
2013/4/10,17.9,8,1,8.0,8,1
2013/4/11,13.6,8,1,6.0,8,1
2013/4/12,15.7,8,1,6.5,8,1
2013/4/13,16.2,8,1,7.4,8,1
2013/4/14,20.6,8,1,10.0,8,1
2013/4/15,22.6,8,1,12.7,8,1
2013/4/16,21.4,8,1,11.4,8,1
2013/4/17,23.3,8,1,16.4,8,1
2013/4/18,23.4,8,1,16.2,8,1
2013/4/19,19.9,8,1,10.2,8,1
2013/4/20,11.5,8,1,6.0,8,1
